Frame,X,Y,Z
0,15,-3.49,0.02
1,14.07,-6.32,-0.03
2,15.74,-5.8,-0.03
3,14.89,-5.77,-0.03
4,14.97,-6.11,-0.05
5,13.29,-7.06,-0.06
6,11.16,-5.34,0.02
7,12.03,-8.07,-0.14
8,9.31,-10.39,-0.22
9,7.87,-10.5,-0.19
10,10.81,-6.37,-0.15
11,12.06,-4.3,-0.13
12,12.51,-4.51,-0.11
13,12.86,-4.37,-0.11
14,13.22,-3.61,-0.08
15,12.59,-3.95,-0.09
16,12.97,-3.75,-0.08
17,12.76,-3.48,-0.1
18,12.5,-3.36,-0.1
19,11.69,-3.56,-0.11
20,11.9,-3.61,-0.11
21,10.84,-4.07,-0.15
22,9.47,-3.7,-0.16
23,7.78,-4.2,-0.18
24,7.22,-4.05,-0.18
25,6.1,-4.9,-0.23
26,4.95,-4.52,-0.25
27,4.53,-4.54,-0.24
28,4.6,-5.04,-0.25
29,4.68,-5.23,-0.25
30,4.96,-5.57,-0.25
31,4.92,-5.61,-0.23
32,4.73,-6.93,-0.26
33,4.17,-7.06,-0.27
34,4.14,-7.09,-0.27
35,4.15,-8.48,-0.29
36,4.21,-9.05,-0.31
37,3.99,-8.96,-0.32
38,4.23,-9.22,-0.33
39,3.64,-9.08,-0.32
40,3.88,-9.1,-0.34
41,4.04,-9.14,-0.35
42,4.01,-8.68,-0.35
43,3.15,-8.21,-0.33
44,3.65,-8.2,-0.34
45,3.96,-7.89,-0.34
46,4.23,-7.98,-0.35
47,3.8,-7.53,-0.34
48,4.02,-7.4,-0.36
49,3.73,-7.44,-0.36
50,4.2,-7.39,-0.37
51,4.13,-7.65,-0.36
52,4.24,-7.88,-0.36
53,4.48,-8.09,-0.38
54,4.43,-8.07,-0.37
55,3.87,-8.08,-0.37
56,3.65,-8.29,-0.38
57,3.45,-7.67,-0.36
58,2.41,-7.21,-0.36
59,2.44,-7.11,-0.35
60,2.82,-6.74,-0.35
61,2.59,-6.56,-0.34
62,2.13,-6.32,-0.33
63,2.44,-6.14,-0.34
64,3.05,-6.59,-0.35
65,3.59,-6.51,-0.34
66,3.67,-6.62,-0.36
67,4.14,-6.92,-0.34
68,4.73,-7.34,-0.33
69,5.28,-7.37,-0.33
70,5.42,-6.97,-0.31
71,5.5,-7.11,-0.33
72,6.1,-7.75,-0.33
73,6.58,-8.25,-0.3
74,6.88,-8.35,-0.27
75,7.01,-8.14,-0.3
76,6.32,-8.25,-0.32
77,7.02,-8.51,-0.32
78,6.98,-9.12,-0.31
79,6.81,-9.1,-0.33
80,6.7,-9.8,-0.3
81,7.32,-9.54,-0.32
82,7.05,-10.81,-0.31
83,7.47,-10.3,-0.32
84,7.27,-11.23,-0.3
85,7.81,-10.77,-0.31
86,7.73,-9.1,-0.3
87,6.68,-9.31,-0.31
88,7.13,-7.46,-0.27
89,6.99,-6.73,-0.26
90,6.77,-6.23,-0.27
91,6.63,-5.95,-0.26
92,4.74,-5.01,-0.29
93,4.91,-5.33,-0.29
94,4.36,-4.94,-0.29
95,4.81,-5.32,-0.3
96,4.85,-4.53,-0.3
97,4.48,-4.93,-0.32
98,8.61,-4.43,-0.26
99,9.68,-5.15,-0.25
100,11.9,-5.61,-0.22
101,11.53,-6.08,-0.21
102,12.12,-6.93,-0.19
103,12.42,-6.83,-0.19
104,12.36,-6.37,-0.16
105,12.53,-6.55,-0.17
106,10.85,-5.89,-0.16
107,10.89,-5.78,-0.17
108,9.04,-5.42,-0.2
109,9.1,-5.7,-0.2
110,7.61,-5.44,-0.19
111,8.67,-5.81,-0.19
112,7.67,-5.72,-0.24
113,7.85,-6.83,-0.23
114,7.28,-6.9,-0.25
115,6.93,-6.86,-0.26
116,6.93,-6.55,-0.28
117,6.72,-7.08,-0.28
118,6.59,-7.11,-0.26
119,6.68,-7.06,-0.26
120,6.13,-6.49,-0.26
121,6.77,-7.07,-0.27
122,6.16,-6.73,-0.28
123,6.18,-7.24,-0.3
124,6.17,-6.34,-0.31
125,5.63,-7.68,-0.34
126,5.74,-7.39,-0.34
127,5.43,-7.25,-0.32
128,5.64,-6.44,-0.31
129,5.52,-6.71,-0.31
130,4.81,-6.78,-0.31
131,5.57,-6.53,-0.3
132,5.97,-6.37,-0.29
133,6.11,-6.92,-0.29
134,6.04,-6.59,-0.27
135,5.82,-6.43,-0.27
136,5.56,-6.28,-0.31
137,5.61,-6.71,-0.31
138,4.68,-6.78,-0.34
139,4.66,-6.87,-0.33
140,4.22,-7.01,-0.34
141,4.48,-7.28,-0.34
142,4.95,-8.28,-0.35
143,4.76,-7.88,-0.34
144,5.2,-8.15,-0.35
145,5.71,-8.37,-0.34
146,6.25,-8.87,-0.35
147,6.76,-9.96,-0.32
148,7.17,-9.54,-0.28
149,7.66,-10.01,-0.28
150,7.89,-10.44,-0.34
151,8.52,-11.45,-0.31
152,8.53,-12.1,-0.31
153,9.05,-12.47,-0.31
154,9.67,-12.86,-0.29
155,10.46,-13.11,-0.3
156,10.54,-12.82,-0.3
157,11.17,-11.98,-0.28
158,11.4,-12.07,-0.26
159,11.94,-10.7,-0.27
160,11.13,-9.68,-0.26
161,11.05,-8.43,-0.23
162,10.84,-7.57,-0.22
163,11.64,-6.9,-0.22
164,12.12,-6.01,-0.22
165,11.75,-5.49,-0.22
166,11.74,-5,-0.22
167,11.49,-4.3,-0.21
168,9.54,-3.77,-0.2
169,9.36,-3.4,-0.2
170,10.37,-3,-0.2
171,10.96,-3.15,-0.18
172,11.45,-3.01,-0.16
173,10.17,-3.11,-0.19
174,8.86,-3.92,-0.19
175,9.15,-4.53,-0.21
176,8.19,-5.48,-0.23
177,8.45,-5.74,-0.25
178,7.6,-6.31,-0.25
179,6.94,-6.6,-0.26
180,6.75,-6.54,-0.26
181,6.52,-7.06,-0.28
182,6.25,-6.87,-0.26
183,6.38,-6.98,-0.27
184,6.02,-6.99,-0.27
185,6.2,-6.85,-0.28
186,5.97,-6.94,-0.29
187,5.84,-7.4,-0.29
188,6.02,-7.54,-0.3
189,5.75,-7.39,-0.29
190,5.83,-7.56,-0.29
191,6.28,-7.51,-0.29
192,6.49,-7.49,-0.28
193,6.66,-7.52,-0.29
194,6.43,-7.9,-0.28
195,6.92,-8.19,-0.29
196,7.63,-7.61,-0.26
197,7.02,-8,-0.23
198,7.62,-8.82,-0.26
199,7.84,-8.94,-0.27
200,8.19,-8.72,-0.27
201,7.4,-8.26,-0.3
202,7.45,-8.64,-0.3
203,7.61,-8.99,-0.33
204,8.03,-8.57,-0.33
205,7.8,-8.09,-0.32
206,8.41,-8.63,-0.31
207,8.67,-8.68,-0.31
208,8.3,-8.36,-0.29
209,8.28,-8.08,-0.29
210,8.41,-7.92,-0.29
211,8.86,-8.04,-0.28
212,8.28,-8.57,-0.28
213,8.51,-8.59,-0.29
214,8.57,-9,-0.29
215,8.82,-8.67,-0.28
216,9.23,-8.43,-0.29
217,8.76,-8.13,-0.28
218,9.5,-7.9,-0.25
219,9.52,-7.4,-0.2
220,9,-7.22,-0.22
221,8.63,-6.48,-0.22
222,8.39,-6.31,-0.24
223,8.1,-6.23,-0.23
224,8.58,-6.77,-0.23
